1991 Stockade-athon


Men's Results

772 Tom Cornick, 53 87.44
773 Eric Griffin, 38 88.36
774 Brian Howard, 42 88.52
775 Steven Derucher, 41 89.16
776 Jon Crandell, 40 89.31
777 Donald Boyd, 36 89.33
778 Arthur Tetrault, 62 89.36
779 Steve Snider, 36 89.44
780 Michael Batty, 29 89.45
781 Arthur Thurber, 58 89.51
782 Paul O’Connell, 37 89.55
783 Savan Becker, 20 89.59
784 William Daniels, 51 90.05
785 Mike Chase, 37 90.56
786 Peter Mienaltowski, 40 91.03
787 Chuck Butkus, 49 91.15
788 Mark McDonnell, 34 91.51
789 Jack Moran, 61 91.53
790 Richard Golden, 56 92.13
791 James Sladack, 42 92.35
792 George Charlebois, 37 94.03
793 Dr. Tom Mason, 72 94.04
794 Robert Thayer, 29 94.30
795 Michael Dilworth, 23 95.02
796 James Dern, 72 95.06
797 Thomas Cutbush, 46 95.59
798 Eugene Ellis, 47 96.00
799 Matthew Sissman, 28 98.26
800 Ed Portugal, 35 98.54
801 Bill LaComb, 34 99.07
802 Gend Gilchrist, 41 99.20
803 Peter Seidner, 60 103.01
804 Bernett Marion Sr., 34 104.00


Women's Results

1 Lori Hewig, 31 52.40
2 Inge Aiken, 30 54.56
3 Betsy Kneale, 26 56.50
4 Amy Herold-Russom, 30 58.12
5 Jessica Milosch, 17 58.33
6 Nancy Nicholson, 29 59.04
7 Denise Herman, 36 59.29
8 Jeryl Simpson, 34 61.31
9 Patricia Nagy, 34 61.51
10 Maureen Sheehan, 28 61.59
11 Bonnie Morse-Gillham, 35 62.09
12 Mary Beth Steffen, 34 62.20
13 Jennifer Assini, 29 62.36
14 Sandra Phibbs-Stockman, 27 62.38
15 Diane Weglarz, 30 62.41
16 Renee Mack, 31 62.48
17 Suzanne Keegan, 32 63.41
18 Jayne Grout, 48 63.53
19 Sabrina Ford, 16 63.56
20 Melinda Hayes, 27 64.03
21 Terrie Maguire, 37 64.55
22 Sue Hotaling, 31 64.57
23 Christina Palmero, 29 65.02
